#{"t_start": 1711389288.9286132, "env_id": "LunarLander-v2"}
r,l,t
-367.355334,84,0.739597
-37.528293,122,0.854547
-158.10335,124,0.974302
-127.870422,67,1.051141
-202.313207,116,1.159287
-85.394672,66,1.222539
7.945573,80,1.297749
-400.204,101,1.387855
-71.785075,111,1.50176
-242.765367,95,1.596348
-173.373596,85,1.692366
-235.53487,80,1.765632
-119.016514,76,1.848376
-154.68599,156,2.011118
-226.468037,103,2.145081
-484.158307,102,2.288224
-85.689801,107,2.450462
-124.624869,81,2.589963
-63.590272,76,2.71665
-267.863946,68,2.827972
-82.095963,80,2.966527
-124.928612,87,3.124346
-88.869416,64,3.236604
-154.581417,115,3.37606
-96.280578,67,3.440024
-170.552431,74,3.512357
-161.699572,65,3.57423
-287.385054,73,3.642881
-291.877553,97,3.742712
-311.67454,128,3.860898
-361.522913,80,3.935865
-36.33082,78,4.014338
-474.230331,147,4.182749
-44.921432,88,4.262578
-369.650068,96,4.364339
-84.585627,114,4.480181
-241.708406,92,4.56713
-173.727007,67,4.62637
-98.295657,93,4.716745
-189.519941,122,4.830017
-432.31462,86,4.911222
-439.601286,105,5.011713
-107.422313,74,5.082211
-106.158235,93,5.189598
-159.628956,97,5.286642
-555.079883,117,5.399168
-85.088632,87,5.478845
-120.741156,74,5.550126
-139.294564,99,5.645998
-193.385252,63,5.708382
-394.284611,107,5.810007
-4.655019,149,5.963351
-254.449811,110,6.068248
-183.243891,103,6.173901
-34.656126,80,6.248033
-91.918286,70,6.31532
-203.399145,81,6.390772
-108.501192,57,6.445499
-132.828883,76,6.517256
-86.248289,76,6.594691
-136.328998,131,6.718598
-121.521956,86,6.798949
-151.404147,65,6.865112
-92.788868,106,6.963139
-307.398134,129,7.109316
-423.984203,87,7.191384
-366.816122,87,7.268992
-120.008382,101,7.367223
-96.99429,73,7.43547
-89.107458,64,7.492022
-160.571001,106,7.592685
-287.882327,94,7.677638
-398.833176,116,7.787557
-367.789009,105,7.885805
-85.91225,123,8.012346
-97.10149,71,8.076564
-100.411416,66,8.135174
-432.045917,97,8.223216
-237.366577,126,8.339552
-145.047551,106,8.444974
-100.173773,74,8.519421
-205.177444,107,8.626438
-109.314187,109,8.732342
-144.085168,103,8.82306
-237.016133,128,8.943247
-117.876464,102,9.05109
-110.326099,104,9.152767
-100.256939,76,9.225898
-164.259026,77,9.303773
-184.204013,66,9.370122
-61.951811,60,9.428478
-137.651618,72,9.49555
-300.917867,94,9.582922
-198.891974,110,9.688864
-319.747886,102,9.787338
-235.11479,103,9.883616
-261.265467,102,9.994777
-370.145573,96,10.087261
-31.462111,88,10.175938
-74.099241,62,10.238373
-88.623738,76,10.316099
-537.135929,105,10.420286
-136.01883,141,10.563181
-272.683642,69,10.629765
-449.557564,92,10.718645
-309.331654,105,10.815991
-101.120138,73,10.88354
-83.093334,79,11.519389
-173.040431,1000,29.767748
-28.981565,1000,46.682712
-87.590155,1000,64.167394
-38.73624,1000,82.260187
-24.893263,1000,100.283192
-61.426998,1000,118.375184
-3.535662,1000,137.856729
-16.17755,1000,157.846047
-37.193037,1000,176.61648
-273.182606,589,187.457232
